Laptop ID;Brand;Segment;Model;Price;CPU Brand;CPU Type;CPU Speed;HD Size;HD Type;RAM size;Graphic Card;Webcam;Cache Size;DVD;Wireless;LCD Inches;Bluetooth;OS;Weight
13;Apple;MacBook Air;MD231PO/A;1263;Intel;Intel Core i5-3427U;1.8;128;SSD;4;Intel HD Graphics 5000;Yes;8;No;Yes;13.0;Yes;Mac OS X Mavericks;1.05
14;Apple;MacBook Air;MD232PO/A;1466;Intel;Intel Core i5-3427U;1.8;256;SSD;4;Intel HD Graphics 5000;Yes;8;No;Yes;13.0;Yes;Mac OS X Mavericks;1.05
15;Apple;MacBook Pro;MD101PO/A;1262;Intel;Intel Core i5-3210M;2.5;500;HDD;4;Intel HD Graphics 5000;Yes;8;Yes;Yes;13.0;Yes;Mac OS X Mavericks;1.62
16;Apple;MacBook Pro;MD102PO/A;1567;Intel;Intel Core i7-3520M;2.9;750;HDD;8;Intel HD Graphics 5000;Yes;8;Yes;Yes;13.0;Yes;Mac OS X Mavericks;1.62
17;Apple;MacBook Pro;MD103PO/A;1871;Intel;Intel Core i7-3615QM;2.3;500;HDD;4;NVIDIA GeForce GT650M 512MB;Yes;8;Yes;Yes;15.0;Yes;Mac OS X Mavericks;1.62
18;Apple;MacBook Pro;MD104PO/A;2349;Intel;Intel Core i7-3720QM;2.6;750;HDD;8;NVIDIA GeForce GT650M 1GB;Yes;8;Yes;Yes;15.0;Yes;Mac OS X Mavericks;1.62
19;Apple;MacBook Pro;MD212PO/A;1567;Intel;Intel Core i5-3210M;2.5;128;SSD;8;Intel HD Graphics 5000;Yes;8;Yes;Yes;13.0;Yes;Mac OS X Mavericks;1.62
20;Apple;MacBook Pro;ME662PO/A;1769;Intel;Intel Core i5-3230M;2.6;256;SSD;8;Intel HD Graphics 5000;Yes;8;Yes;Yes;13.0;Yes;Mac OS X Mavericks;1.62
21;Apple;MacBook Pro;ME664PO/A;2275;Intel;Intel Core i7-3635QM;2.4;256;SSD;8;NVIDIA GeForce GT 650M 1GB;Yes;8;Yes;Yes;15.0;Yes;Mac OS X Mavericks;1.62
22;Apple;MacBook Pro;ME665PO/A;2275;Intel;Intel Core i7-3740QM;2.7;512;SSD;16;Intel Graphics 5000,NVIDIA GeForce GT 650M 1GB;Yes;8;Yes;Yes;15.0;Yes;Mac OS X Mavericks;1.62
23;Asus;Serie B;BU400A-W3117G;1058;Intel;Intel Core i5-3317U;1.7;524;HDD,SSD;4;Intel UMA;Yes;3;No;Yes;14.0;Yes;Windows 8,Windows 7;1.64
24;Asus;Serie B;BU400VC-W3039G;1154;Intel;Intel Core i5-3317U;1.7;628;HDD,SSD;6;NVIDIA NVS5200 1GB;Yes;3;No;Yes;14.0;Yes;Windows 8,Windows 7;1.64
25;Asus;Serie B;BU400VC-W3038G;1322;Intel;Intel Core i7-3517U;1.9;756;HDD,SSD;8;NVIDIA NVS5200 1GB;Yes;3;No;Yes;14.0;Yes;Windows 8,Windows 7;1.64
26;Asus;Serie G;G46VR-DA016H;1477;Intel;Intel Core i7-3630QM;2.4;878;HDD,SSD;16;NVIDIA GeForce 760M 2GB;Yes;4;Yes;Yes;14.0;Yes;Windows 8;2.6
27;Asus;Serie G;G46VM-W3048P;1545;Intel;Intel Core i7-3630QM;2.4;878;HDD,SSD;16;NVIDIA GeForce GTX660M 2GB;Yes;4;Yes;Yes;14.0;Yes;Windows 8;2.6
28;Asus;Serie G;G750J-T4048HX;1847;Intel;Intel Core i7-4702HQ;2.2;1006;HDD,SSD;32;NVIDIA GeForce GTX770M 3GB;Yes;4;Yes;Yes;17.3;Yes;Windows 8;2.6
29;Asus;Serie G;G75VX-T4022P;1889;Intel;Intel Core i7-3630QM;2.4;1006;HDD,SSD;32;NVIDIA GeForce GTX670MX 3GB;Yes;4;Yes;Yes;17.3;Yes;Windows 8;2.6
30;Asus;Serie K;K56CB-XO268H;599;Intel;Intel Core i3-3217U;1.8;500;HDD;4;NVIDIA GeForce GT740M 2GB;Yes;2;Yes;Yes;15.6;No;Windows 8;2.3
31;Asus;Serie K;K56CB-XO268H;688;Intel;Intel Core i5-3317U;1.7;750;HDD;6;NVIDIA GeForce GT740M 2GB;Yes;2;Yes;Yes;15.6;Yes;Windows 8;2.3
32;Asus;Serie K;K56CB-XO270H;786;Intel;Intel Core i7-3537U;2.0;750;HDD;8;NVIDIA GeForce GT740M 2GB;Yes;2;Yes;Yes;15.6;Yes;Windows 8;2.3
33;Asus;Serie N;N56VB-S4081H;1058;Intel;Intel Core i7-3630QM;2.4;750;HDD;8;NVIDIA GeForce GT740M 4GB;Yes;4;Yes;Yes;15.6;Yes;Windows 8;2.7
34;Asus;Serie N;N56VJ-S4011H;1082;Intel;Intel Core i7-3630QM;2.4;750;HDD;8;NVIDIA GeForce GT635M 2GB;Yes;4;Yes;Yes;15.6;Yes;Windows 8;2.7
35;Asus;Serie N;N56VZ-S4278H;1179;Intel;Intel Core i7-3630QM;2.4;750;HDD;8;NVIDIA GeForce GT650M 4GB;Yes;4;Yes;Yes;15.6;No;Windows 8;2.7
36;Asus;Serie N;N56VZ-S4277H;1278;Intel;Intel Core i7-3630QM;2.4;750;HDD;16;NVIDIA GeForce GT650M 2GB;Yes;4;Yes;Yes;15.6;Yes;Windows 8;2.7
37;Asus;Serie N;N76VZ-V2G-T1143H;1351;Intel;Intel Core i7-3630QM;2.4;1000;HDD;16;NVIDIA GeForce GT650M 4GB;Yes;4;Yes;Yes;15.6;Yes;Windows 8;2.3
38;Asus;Serie Vivobook;S200E-CT217H;558;Intel;Intel Core i3-2365M;1.4;500;HDD;4;Intel UMA;No;2;No;Yes;11.6;Yes;Windows 8;1.3
39;Asus;Serie Vivobook;S400CA-CA061H;653;Intel;Intel Core i3-2365M;1.4;500;HDD;6;Intel UMA;Yes;2;No;Yes;14.0;Yes;Windows 8;1.8
40;Asus;Serie Vivobook;S550CB-CJ035H;944;Intel;Intel Core i7-3667U;2.0;774;HDD,SSD;6;NVIDIA GeForce 740M 2GB;Yes;3;No;Yes;15.6;Yes;Windows 8;2.0
41;Asus;Serie U;U500VZ-DB111P;1889;Intel;Intel Core i7-3632QM;2.2;512;SSD;8;NVIDIA GeForce GT650M 2GB;Yes;4;Yes;Yes;15.6;Yes;Windows 8;2.5
42;Asus;Serie U;UX31A-R4005H;962;Intel;Intel Core i5-3317U;1.8;128;SSD;4;Intel HD Graphics 4000;Yes;4;Yes;Yes;13.3;Yes;Windows 8;2.1
